rank,county,state,fips,prospects_combined,prospects_cmu,prospects_hotchkiss,cumulative_pct
66,Anne Arundel,MD,24003,296,269,27,70.03
67,Monmouth,NJ,34025,288,255,33,70.31
68,Broward,FL,12011,287,265,22,70.59
69,Washington,OR,41067,276,263,13,70.86
70,Marin,CA,06041,273,197,76,71.12
71,Williamson,TX,48491,268,262,6,71.38
72,Monroe,NY,36055,268,245,23,71.65
73,Baltimore (city),MD,24510,267,245,22,71.91
74,Baltimore,MD,24005,263,248,15,72.16
75,DuPage,IL,17043,259,238,21,72.41
76,Beaver,PA,42007,245,245,0,72.65
77,Lake,IL,17097,244,200,44,72.89
78,Washtenaw,MI,26161,237,226,11,73.12
79,Worcester,MA,25027,232,206,26,73.35
80,Clark,NV,32003,230,211,19,73.57
81,Wayne,MI,26163,220,192,28,73.79
82,Orange,FL,12095,215,199,16,74.0
83,Hamilton,OH,39061,206,191,15,74.2
84,Dutchess,NY,36027,206,106,100,74.4
85,New Castle,DE,10003,204,182,22,74.6
86,Dane,WI,55025,204,193,11,74.79
87,Prince George's,MD,24033,203,190,13,74.99
88,Jefferson,CO,08059,202,182,20,75.19
89,City of Alexandria,VA,51510,191,167,24,75.37
90,Hillsborough,FL,12057,186,169,17,75.56
91,Orange,NC,37135,182,170,12,75.73
92,St. Louis,MO,29189,178,156,22,75.91
93,Summit,OH,39153,177,173,4,76.08
94,Tarrant,TX,48439,177,166,11,76.25
95,Cobb,GA,13067,174,164,10,76.42
96,Erie,NY,36029,172,165,7,76.59
97,Pinellas,FL,12103,170,152,18,76.75
98,Pima,AZ,04019,169,155,14,76.92
99,Durham,NC,37063,166,148,18,77.08
100,DeKalb,GA,13089,160,135,25,77.24
101,Bronx,NY,36005,157,103,54,77.39
102,Salt Lake,UT,49035,156,140,16,77.54
103,Connecticut Metropolitan,CT,09120,155,89,66,77.69
104,Bernalillo,NM,35001,154,145,9,77.84
105,Lancaster,PA,42071,153,147,6,77.99
